UserName,Email,Phone,Password
ariar,ariar@terpmail.umd.edu,600-834-9408,n#m98Z^V78
young_gabriel,young_gabriel@terpmail.umd.edu,139-112-9608,Q5ekdKj2^&
lucas.rogers,lucas.rogers@terpmail.umd.edu,(212) 980-8288,T:kdP'cW{.
avery.scott,avery.scott@umd.edu,(301) 789-8141,+ZFY^C&sT9
mohammed.roberts,mohammed.roberts@umd.edu,(301) 805-9539,1nAB9'oyx+
eperez,eperez@terpmail.umd.edu,629-652-1735,AgrE/|Vu#Y
chloegray_2004,chloegray_2004@terpmail.umd.edu,272-621-2658,I=r8#!*^sD
nicholas_powell,nicholas_powell@umd.edu,735-125-7867,2ovok1qq;Y
riverajohn_2003,riverajohn_2003@umd.edu,(443) 958-3851,PeIlf`0NN6
turner_ava,turner_ava@terpmail.umd.edu,342-975-6826,m3PEd7>CG}
torres.mia.1997,torres.mia.1997@terpmail.umd.edu,(202) 125-5075,g}u).R)Nzd
chloe_bennett,chloe_bennett@terpmail.umd.edu,(202) 537-8897,j!3&)L!%=a
butler_kaiden,butler_kaiden@terpmail.umd.edu,364-130-1448,T|]_qR(dES
kailopez,kailopez@terpmail.umd.edu,386-638-1778,-uU0[h?bo:
kellykaiden_1997,kellykaiden_1997@umd.edu,(610) 896-6555,Phpn(}=7wq
gonzales_scarlett,gonzales_scarlett@umd.edu,530-910-8483,K{=MNa2-z8
abigailpeterson,abigailpeterson@terpmail.umd.edu,(667) 579-2302,zABS+*F?^^
audrey.johnson,audrey.johnson@umd.edu,(301) 682-8205,kCF9U]JTP7
mgarcia,mgarcia@terpmail.umd.edu,(667) 389-3447,->m+tJm7"p
liam.thomas,liam.thomas@terpmail.umd.edu,(301) 668-3165,OqrA`G7O!&
lucy_ramirez,lucy_ramirez@umd.edu,(883) 255-3483,dK/CG^'@Hp
eli.cox,eli.cox@umd.edu,(301) 162-3918,Lvu2R2i-T3
wyatt.russell,wyatt.russell@umd.edu,424-170-8839,-3O9pa_$va
adamj,adamj@umd.edu,(202) 683-8498,eez:7-_Z+I
joshua_james,joshua_james@terpmail.umd.edu,(202) 793-1015,!CsF&_U]qu
bailey_aria,bailey_aria@terpmail.umd.edu,(971) 830-3944,aOO%J~<h.m
alexb2004,alexb2004@umd.edu,(738) 227-5878,GGn|fZPdRD
evan_gonzales_1997,evan_gonzales_1997@umd.edu,(410) 547-8603,%OHCO(Y`KY
kbryant_2004,kbryant_2004@terpmail.umd.edu,890-977-1356,WT"DB%f)*d
turner_logan,turner_logan@umd.edu,(456) 446-4831,i#6H|Z[*4F
addisone,addisone@umd.edu,(473) 428-8033,Z_*[-)//{P
aiden.griffin,aiden.griffin@terpmail.umd.edu,(443) 636-8243,H(#|nLk[G[
gabriel.hayes,gabriel.hayes@umd.edu,(433) 996-8333,<oGx5bRgTG
evan.thomas.2000,evan.thomas.2000@umd.edu,750-769-4001,(_g<l\b+t2
sofia_coleman,sofia_coleman@umd.edu,(202) 111-2714,Y{@%?`L90q
sgreen,sgreen@umd.edu,(410) 726-5278,xGpS&vl9)%
henry_washington_2002,henry_washington_2002@terpmail.umd.edu,(230) 285-3196,mX`ue/A%!+
liam_g,liam_g@umd.edu,231-729-8396,J)4FOi%buj
liamp1993,liamp1993@umd.edu,737-774-6705,2Ct(IN-vDy
isabella_butler,isabella_butler@umd.edu,(410) 765-2286,CLPY&6&:*v
oscarb,oscarb@umd.edu,(461) 276-5635,i$2M-e*3)F
howard_jaxon,howard_jaxon@umd.edu,(443) 133-4640,TJt{=we|>5
brown.oliver.1997,brown.oliver.1997@umd.edu,792-851-1014,%{`.L/l`Vx
charlie_phillips_1996,charlie_phillips_1996@terpmail.umd.edu,(674) 662-8893,Tv@I30>V<'
josiah_cooper,josiah_cooper@terpmail.umd.edu,355-769-4120,Rfk7[R*l/'
mtaylor,mtaylor@umd.edu,(410) 265-2842,>tj%uOQ#QG
savannah_scott_2003,savannah_scott_2003@terpmail.umd.edu,786-326-2025,w%yqvn8WTp
mason_e,mason_e@terpmail.umd.edu,(676) 967-4908,arR{_Ou{JR
aaronallen,aaronallen@umd.edu,529-606-5114,KpD=.XXj?d
clairet,clairet@umd.edu,(763) 285-3865,r$6]W(?4v7
anthonywatson,anthonywatson@umd.edu,(914) 470-2201,Qq_*jL"%:S
lily_l,lily_l@umd.edu,(410) 692-4906,B8BBeFtWO.
nicholas_rodriguez,nicholas_rodriguez@terpmail.umd.edu,962-386-9914,C{X8qjMAY0
allen_mason,allen_mason@terpmail.umd.edu,(667) 751-8657,q(`Gvyxi5Q
abigail_garcia,abigail_garcia@umd.edu,(443) 494-8983,1-9`<("9nD
mohammedlee,mohammedlee@umd.edu,679-690-2984,kM~W+jHn&J
anthonyramirez_1998,anthonyramirez_1998@umd.edu,(958) 522-4770,ry`nKTKgHj
jaxon.butler,jaxon.butler@umd.edu,(202) 864-1087,wAIN75NIdZ
lincoln.patterson,lincoln.patterson@terpmail.umd.edu,(443) 621-7577,C:`/~~V|bl
