Timestamp,IP_Address,Username,Password,Status
2023-10-18 23:52:08,161.185.20.248,gabriellemeyer,a_b*a2Gmuj,SUCCESS
2023-10-18 23:47:36,85.42.58.205,jbaxter,MM$18ItVty,SUCCESS
2023-10-18 23:43:13,74.121.120.21,npacheco,0z3GjTg4@q,SUCCESS
2023-10-18 23:39:59,214.36.250.49,myoung,d_8UPnq%)G,SUCCESS
2023-10-18 23:37:45,38.216.204.245,newmansydney,@4VxH5z*rZ,SUCCESS
2023-10-18 23:36:12,178.34.209.143,pbennett,@Yx6SuH75Y,SUCCESS
2023-10-18 23:36:06,94.169.124.172,barias,p0LeT#md&f,SUCCESS
2023-10-18 23:35:47,169.45.30.0,lsharp,$9bsUUMK&i,FAILURE
2023-10-18 23:33:39,13.205.7.206,fsmith,IjxP+vt*%3,FAILURE
2023-10-18 23:32:04,197.99.98.159,lisahayes,DP_68wTszB,FAILURE
2023-10-18 23:28:16,121.7.251.61,brooksdavid,^4tC%yFU!S,SUCCESS
2023-10-18 23:25:20,130.226.62.160,jennifer16,)6jGmimM%M,SUCCESS
2023-10-18 23:21:29,164.224.104.225,bryantlance,*5Oh&%NoXM,FAILURE
2023-10-18 23:21:27,57.12.101.15,chelsea41,q)y5NauV_%,FAILURE
2023-10-18 23:17:02,53.242.159.38,walkerrhonda,oVsR04heL$,SUCCESS
2023-10-18 23:12:31,29.233.192.141,irice,#3N))*Uxf9,FAILURE
2023-10-18 23:11:28,140.97.229.211,charlesmayo,P+)00HRiq9,FAILURE
2023-10-18 23:10:10,212.9.53.25,lutzmary,@@W)M%Lri3,FAILURE
2023-10-18 23:08:46,121.83.96.60,hallen,$0vE76m%cK,SUCCESS
2023-10-18 23:06:10,101.76.222.112,evansmichelle,a_Nuc0LENd,SUCCESS
2023-10-18 23:05:52,143.171.190.85,taylorlauren,8N!1GnDTbX,SUCCESS
2023-10-18 23:03:09,150.163.253.19,samanthaware,)!7ThKcp)y,FAILURE
2023-10-18 23:01:21,194.59.95.112,larry25,)py2SWFsSs,SUCCESS
2023-10-18 22:57:06,187.121.235.197,upetty,eX)6X*ua3f,SUCCESS
2023-10-18 22:53:08,52.228.49.127,nicole50,!8$CAUQwS3,SUCCESS
2023-10-18 22:52:14,8.132.40.179,sroberson,IEGK9NJi!),SUCCESS
2023-10-18 22:49:07,168.152.241.161,jacob92,$O7TTew0#b,FAILURE
