FirstName,LastName,UserName,Email,Phone,State,Zipcode,UID
Theodore,Martinez,theodoremartinez,theodoremartinez@terpmail.umd.edu,(301) 959-6348,Maryland,95704,194886487
Hazel,Gonzalez,hazelg,hazelg@terpmail.umd.edu,922-463-8733,Maryland,33909,595619691
Lucy,Washington,lucywashington_1997,lucywashington_1997@umd.edu,307-791-9944,Maryland,86074,863424169
Liam,Rivera,liam.rivera,liam.rivera@umd.edu,519-369-3676,North Carolina,32637,727052915
Ezra,Lopez,ezra.lopez.1992,ezra.lopez.1992@umd.edu,274-851-5805,Maryland,67358,801497067
Colton,Smith,colton_s,colton_s@umd.edu,660-205-6659,Maryland,10192,431677844
David,Howard,howarddavid_1993,howarddavid_1993@umd.edu,524-478-2952,Maryland,85006,475355525
Caleb,Phillips,calebp,calebp@terpmail.umd.edu,798-205-2584,Illinois,92750,141114534
Emma,James,emmaj1995,emmaj1995@umd.edu,(805) 390-2829,Georgia,62999,675892242
Adam,Lewis,lewis_adam_1998,lewis_adam_1998@umd.edu,743-526-5863,Maryland,56050,639623170
Abigail,Simmons,abigail_simmons,abigail_simmons@umd.edu,(410) 699-4670,Maryland,10421,640322167
Ava,Long,avalong_1995,avalong_1995@terpmail.umd.edu,463-496-4337,North Carolina,28086,208996834
Charlie,Taylor,charlie_t,charlie_t@terpmail.umd.edu,296-477-1109,Maryland,23038,452047704
Maverick,Rivera,rivera_maverick,rivera_maverick@terpmail.umd.edu,(301) 109-4980,Maryland,21770,373944223
Theodore,Rivera,rivera_theodore,rivera_theodore@umd.edu,349-603-8710,Maryland,94422,961615412
Leah,Johnson,leahj,leahj@umd.edu,(202) 433-8472,Maryland,23551,984883445
Brooklyn,Henderson,brooklynh1992,brooklynh1992@terpmail.umd.edu,(701) 214-9779,West Virginia,90444,890022126
Aurora,Walker,awalker,awalker@terpmail.umd.edu,804-517-3576,Texas,49805,568499856
Avery,Harris,avery.harris,avery.harris@terpmail.umd.edu,218-196-4940,Maryland,71870,326566723
David,Allen,david.allen,david.allen@terpmail.umd.edu,(410) 553-8482,Maryland,89643,167933772
Cameron,Reed,cameronreed,cameronreed@umd.edu,548-905-7883,Maryland,29430,141263855
Maverick,Watson,mwatson,mwatson@terpmail.umd.edu,(443) 843-1153,Maryland,63100,542757244
Eli,King,elik_2003,elik_2003@terpmail.umd.edu,(301) 865-2876,Maryland,38667,693982116
Colton,Bell,colton_bell,colton_bell@umd.edu,(225) 228-6336,Florida,78281,613652425
Lincoln,Powell,powell_lincoln_2000,powell_lincoln_2000@umd.edu,(202) 310-4910,Maryland,64738,980167752
Isaac,Powell,isaac_powell_1997,isaac_powell_1997@umd.edu,411-127-6210,Maryland,10300,413547252
Everly,Roberts,everly.roberts,everly.roberts@terpmail.umd.edu,(207) 348-1434,Georgia,40327,758780592
Cameron,Barnes,cameronb,cameronb@umd.edu,896-533-7598,Maryland,67342,384835985
James,Allen,allen_james,allen_james@terpmail.umd.edu,(667) 927-4272,Maryland,37498,470941860
Dylan,Wilson,dylanw,dylanw@umd.edu,836-899-7468,Maryland,34567,275973575
Maverick,Miller,miller_maverick_1993,miller_maverick_1993@umd.edu,(301) 212-5635,Maryland,86426,219683493
Bryson,Morris,bryson.morris,bryson.morris@umd.edu,(443) 761-6461,Maryland,19212,355577034
Liam,Torres,liam.torres,liam.torres@terpmail.umd.edu,571-189-2103,Maryland,32327,625514548
David,Baker,baker_david,baker_david@terpmail.umd.edu,540-374-4400,Colorado,36528,214559131
Emily,Reed,reed_emily,reed_emily@terpmail.umd.edu,(733) 729-4184,New York,81144,917969502
Everly,Walker,everlyw,everlyw@umd.edu,(202) 526-8722,Maryland,55918,522014941
Nicholas,Scott,nicholas_s,nicholas_s@umd.edu,233-740-7897,Maryland,54660,842805895
Daniel,Washington,daniel_washington,daniel_washington@terpmail.umd.edu,(443) 682-1186,Maryland,45031,380958649
Edward,Taylor,taylor_edward,taylor_edward@terpmail.umd.edu,466-317-7418,North Dakota,73171,721215128
David,Adams,davida,davida@umd.edu,925-425-5227,Maryland,41865,771215691
Isabelle,Murphy,isabellem,isabellem@terpmail.umd.edu,529-626-3833,Maryland,22420,242909619
Charlie,Rogers,crogers,crogers@umd.edu,431-967-7044,Maryland,87594,583980453
Paisley,Lopez,lopez_paisley,lopez_paisley@umd.edu,404-705-8726,Oklahoma,14180,652049338
Emily,Thomas,emily.thomas,emily.thomas@umd.edu,(667) 939-4902,Maryland,71471,508526851
Nicholas,Gonzales,ngonzales,ngonzales@terpmail.umd.edu,123-707-6660,Maryland,79450,812879604
Theodore,Peterson,tpeterson,tpeterson@terpmail.umd.edu,937-104-4015,Maryland,56786,141263345
Mia,Roberts,mia.roberts,mia.roberts@terpmail.umd.edu,(844) 277-8645,Oklahoma,23477,616795637
Isabelle,Thompson,isabellet,isabellet@umd.edu,929-859-1649,Colorado,34918,646703830
Jack,Clark,jack.clark,jack.clark@umd.edu,(667) 344-7111,Maryland,23544,784711980
Ruby,Johnson,rubyjohnson,rubyjohnson@umd.edu,751-408-8404,Maryland,63553,919919705
Mohammed,Jenkins,mohammed.jenkins,mohammed.jenkins@terpmail.umd.edu,612-631-4308,Maryland,79065,749230348
Emma,Rivera,erivera,erivera@terpmail.umd.edu,(443) 149-7232,Maryland,88716,500200636
Lucy,Washington,lucyw,lucyw@umd.edu,822-513-8102,Virginia,40616,551568294
Carter,Rodriguez,crodriguez,crodriguez@terpmail.umd.edu,(163) 923-5463,North Carolina,10608,278282182
Andrew,Hall,andrew_h,andrew_h@umd.edu,(202) 534-6888,Maryland,79588,782476770
Owen,Wright,owen_w,owen_w@terpmail.umd.edu,(667) 652-9276,Maryland,62710,799579341
Hudson,Jackson,jackson_hudson,jackson_hudson@terpmail.umd.edu,(818) 559-8693,Utah,22590,366704360
Logan,Jenkins,ljenkins_1990,ljenkins_1990@umd.edu,115-200-4484,Maryland,39679,419725705
Anna,Bryant,anna_bryant,anna_bryant@umd.edu,(292) 304-7186,Texas,33389,209333115
Elizabeth,Russell,elizabethr_1997,elizabethr_1997@terpmail.umd.edu,(443) 318-2986,Maryland,35913,804596426
James,Thompson,jthompson,jthompson@umd.edu,842-384-3643,Maryland,84656,562787344
Nicholas,Howard,nicholas_h,nicholas_h@terpmail.umd.edu,934-644-6288,Maryland,96203,295175519
Ruby,Harris,ruby_harris,ruby_harris@umd.edu,672-960-5791,Maryland,39504,233124496
Grace,Stewart,gstewart,gstewart@terpmail.umd.edu,955-405-9867,Delaware,64774,290728024
Hudson,Wilson,wilson_hudson,wilson_hudson@terpmail.umd.edu,(725) 700-3137,New Jersey,57585,652669583
Jonathan,Lewis,jonathanlewis,jonathanlewis@umd.edu,(202) 823-5851,Maryland,63223,285400393
Aria,Clark,clark_aria,clark_aria@terpmail.umd.edu,(202) 694-3719,Maryland,94341,675381334
Olivia,Perez,perez_olivia,perez_olivia@umd.edu,(202) 345-1111,Maryland,71974,666812749
Gabriel,Jenkins,gjenkins_1994,gjenkins_1994@umd.edu,(667) 211-2650,Maryland,65661,844172792
Leah,Sanders,leah_s,leah_s@umd.edu,(410) 954-1832,Maryland,90558,362417064
Jillian,Simmons,jillian_s,jillian_s@umd.edu,317-646-7177,Maryland,55670,307067326
Claire,Lee,clee,clee@umd.edu,318-316-4616,Nevada,53124,732148978
Jonathan,Ramirez,jonathanramirez_1998,jonathanramirez_1998@umd.edu,(443) 247-1245,Maryland,74208,534663190
Aurora,Rivera,aurora.rivera,aurora.rivera@umd.edu,159-686-5493,California,96110,675609720
Lucy,Torres,lucytorres,lucytorres@umd.edu,686-119-5235,Maryland,54780,802474000
Brooklyn,Mitchell,mitchell_brooklyn,mitchell_brooklyn@terpmail.umd.edu,589-755-5406,Maryland,47807,113968838
Jaxon,Parker,jaxonp_1990,jaxonp_1990@terpmail.umd.edu,176-415-4324,Maryland,90406,378562103
Sebastian,Edwards,sebastianedwards,sebastianedwards@umd.edu,(153) 765-8095,Missouri,75691,878156193
Layla,Bailey,layla_b,layla_b@terpmail.umd.edu,272-668-3914,Maryland,56010,367375743
Lily,Anderson,lily_a,lily_a@umd.edu,(410) 238-4617,Maryland,17967,463448461
Bryson,Edwards,bryson_e,bryson_e@terpmail.umd.edu,337-298-7697,Maryland,78316,874061625
Christian,Cook,christianc,christianc@terpmail.umd.edu,197-250-4735,New York,87032,202074007
Luke,Lewis,luke_l,luke_l@terpmail.umd.edu,(202) 832-6696,Maryland,92617,726662569
Mohammed,Roberts,mohammed_r,mohammed_r@terpmail.umd.edu,(301) 357-3569,Maryland,13467,323225815
Adrian,Rodriguez,arodriguez,arodriguez@umd.edu,283-374-9938,Maryland,12287,930580819
Emma,Alexander,emma_alexander,emma_alexander@terpmail.umd.edu,(552) 298-8473,Indiana,25149,890102147
Grace,Flores,flores_grace,flores_grace@umd.edu,910-100-2499,Utah,52608,914037493
Asher,Walker,walker_asher,walker_asher@umd.edu,651-102-3360,Maryland,28792,910948016
Elizabeth,Lopez,lopez_elizabeth_2000,lopez_elizabeth_2000@umd.edu,(301) 897-6079,Maryland,61297,122893626
Charles,Murphy,murphy_charles,murphy_charles@terpmail.umd.edu,384-423-4149,Maryland,22444,579333911
Lucy,Young,lucyy,lucyy@terpmail.umd.edu,(800) 380-9829,Vermont,52482,692223783
Alexander,Young,alexander.young,alexander.young@terpmail.umd.edu,576-542-9950,Vermont,59375,646908939
Joshua,Brown,brown_joshua,brown_joshua@terpmail.umd.edu,707-199-1051,Michigan,60527,285946361
Ella,Perry,eperry,eperry@terpmail.umd.edu,(667) 305-8832,Maryland,96207,756670000
Emily,Coleman,coleman_emily,coleman_emily@umd.edu,(667) 325-4405,Maryland,75081,739722900
Olivia,Sanchez,olivia.sanchez,olivia.sanchez@terpmail.umd.edu,(410) 133-9543,Maryland,37642,156970124
Anna,Lewis,annal,annal@umd.edu,599-182-5643,Maryland,80539,728469048
Mohammed,Coleman,mohammed.coleman,mohammed.coleman@umd.edu,387-472-2105,Maryland,48886,265905661
Ezra,Lee,ezra.lee,ezra.lee@umd.edu,(301) 394-6720,Maryland,65528,247158404
Audrey,Ward,audreyward,audreyward@terpmail.umd.edu,(410) 201-9235,Maryland,88028,707287444
Christian,Jenkins,christian_jenkins_2003,christian_jenkins_2003@umd.edu,(443) 710-7316,Maryland,49276,210598694
Daniel,Murphy,daniel_m,daniel_m@terpmail.umd.edu,513-599-5235,New York,57507,748537953
Mason,Nelson,mason.nelson.2000,mason.nelson.2000@umd.edu,820-777-4910,Maryland,88288,190123690
Jack,Watson,jack_w,jack_w@umd.edu,(443) 209-8156,Maryland,67102,190141237
Lincoln,Lopez,lopez_lincoln,lopez_lincoln@umd.edu,585-880-8038,Maryland,12006,916467611
Eli,Hernandez,eli_h,eli_h@umd.edu,837-180-5127,Maryland,27358,134248181
Edward,Russell,russell.edward.2004,russell.edward.2004@umd.edu,(443) 300-5872,Maryland,44424,698021508
Sebastian,Wright,sebastianw,sebastianw@terpmail.umd.edu,(202) 647-6918,Maryland,88252,171075904
Evan,Johnson,evanj,evanj@terpmail.umd.edu,364-558-2813,Kentucky,31620,452661297
Lucas,Kelly,lucaskelly,lucaskelly@umd.edu,503-246-1817,Maryland,59062,727855318
Jaxon,Alexander,jalexander,jalexander@terpmail.umd.edu,540-899-3802,Arizona,74136,314459662
Ella,Hughes,ella_hughes,ella_hughes@umd.edu,(443) 252-9764,Maryland,35604,616998861
Layla,Cox,cox.layla.1995,cox.layla.1995@umd.edu,(304) 678-1729,Colorado,11679,180401935
Oscar,Hayes,ohayes,ohayes@terpmail.umd.edu,(410) 602-4751,Maryland,40074,475255373
James,Bell,james_bell,james_bell@terpmail.umd.edu,349-289-2020,Maryland,74127,503398606
Cameron,Cox,cox_cameron_2003,cox_cameron_2003@umd.edu,(410) 544-3318,Maryland,37616,276185072
Harper,Murphy,hmurphy,hmurphy@umd.edu,296-432-1436,Maryland,26576,542674570
Natalie,Peterson,nataliep,nataliep@terpmail.umd.edu,(443) 195-6622,Maryland,81310,768495495
Lily,Lewis,lilyl_2004,lilyl_2004@terpmail.umd.edu,(410) 686-7506,Maryland,66040,802507508
Oscar,Edwards,oscar_edwards,oscar_edwards@terpmail.umd.edu,(667) 811-3014,Maryland,78980,649134834
Theodore,Murphy,theodore.murphy.1990,theodore.murphy.1990@terpmail.umd.edu,669-925-1786,Maryland,50063,825345701
Alex,Hill,alex_h,alex_h@terpmail.umd.edu,(410) 771-1215,Maryland,51255,294925930
Carter,Rodriguez,carter_r,carter_r@umd.edu,709-861-9034,Maryland,56249,117716747
Maverick,Cook,maverick.cook,maverick.cook@umd.edu,788-498-7370,Maryland,36608,936316349
Abigail,Thomas,abigail.thomas.1996,abigail.thomas.1996@terpmail.umd.edu,913-637-8510,Maryland,75598,143705415
Oscar,Nelson,oscar_n,oscar_n@umd.edu,(801) 383-1632,Vermont,38821,680597360
Elizabeth,Walker,elizabethw,elizabethw@umd.edu,(301) 355-1001,Maryland,31945,924121115
Josiah,Robinson,josiahrobinson,josiahrobinson@umd.edu,(577) 878-6319,Maine,29210,704257257
Luke,Martinez,lmartinez,lmartinez@umd.edu,(443) 866-4131,Maryland,98001,853378807
John,Phillips,john_p,john_p@umd.edu,(410) 644-8528,Maryland,40355,450349723
